account_id,pagerank,in_degree,out_degree,avg_velocity_1h,avg_velocity_24h,max_velocity_1h,txn_count,avg_amount,is_mule,vpa
ACC00057,0.000295,27,8,1.0,1.0,1,8,74541.1724,1,christopher.bassi66@ybl
ACC00058,0.000213,15,10,1.0,1.0,1,10,77940.8222,1,upma.oak568@okaxis
ACC00059,0.000204,13,9,1.0,1.3333,1,9,70267.2693,1,vidhi.kala8@okhdfcbank
ACC00060,0.000393,18,7,1.0,1.0,1,7,71138.2776,1,gauri.bains70@okicici
ACC00061,0.00043,20,13,1.0,1.1538,1,13,73141.1172,1,urvashi.pathak527@okaxis
ACC00062,0.000409,15,16,1.0,1.3125,1,16,72018.4824,1,raagini.nayar498@okaxis
ACC00063,0.000225,12,11,1.0,1.0,1,11,79477.8766,1,bhavini.raju741@ibl
ACC00064,0.000231,18,11,1.0,1.0,1,11,84635.9291,1,aarush.nadkarni485@upi
ACC00065,0.000294,15,7,1.0,1.1429,1,7,79387.8823,1,rishi.rege100@upi
ACC00066,0.000292,19,13,1.0,1.0769,1,13,77913.1266,1,yadavi.gara421@ibl
ACC00067,0.000356,20,10,1.0,1.2,1,10,75007.6105,1,falan.issac670@okhdfcbank
ACC00068,0.000259,19,10,1.0,1.0,1,10,78820.7832,1,kamya.manne746@ybl
ACC00069,0.00025,16,9,1.0,1.0,1,9,74384.9286,1,abdul.pall197@okaxis
ACC00070,0.000379,20,11,1.0,1.0,1,11,72654.8746,1,gavin.parikh144@upi
ACC00071,0.0006,17,7,1.0,1.1429,1,7,71685.9564,1,adya.batta474@okaxis
ACC00072,0.000382,18,16,1.0,1.125,1,16,76092.7896,1,bimala.chatterjee828@kotak
ACC00073,0.000338,20,11,1.0,1.0909,1,11,74581.5959,1,warhi.anne668@kotak
ACC00074,0.000285,19,18,1.0556,1.2222,2,18,67486.6535,1,azaan.gola949@okaxis
ACC00075,0.000214,11,10,1.0,1.2,1,10,79982.5673,1,isaiah.kashyap498@ibl
ACC00076,0.00032,15,5,1.0,1.0,1,5,81802.2767,1,bachittar.seshadri411@okicici
ACC00077,0.00025,14,11,1.0,1.0909,1,11,78837.136,1,osha.varkey3@upi
ACC00078,0.000405,15,17,1.0,1.1176,1,17,79645.6542,1,naveen.nath804@ibl
ACC00079,0.000379,17,9,1.0,1.1111,1,9,76864.3798,1,ekanta.bala714@kotak
ACC00080,0.000522,19,7,1.0,1.1429,1,7,72473.2946,1,xavier.parsa195@paytm
ACC00081,0.000492,25,12,1.0,1.1667,1,12,66932.3706,1,pavani.hora594@kotak
ACC00082,0.000203,17,13,1.0,1.1538,1,13,74945.594,1,advika.chokshi322@okicici
ACC00083,0.000384,19,8,1.0,1.125,1,8,62341.299,1,manthan.badami489@kotak
ACC00084,0.000264,17,8,1.0,1.0,1,8,76950.9024,1,neelima.ganguly59@kotak
ACC00085,0.000224,17,11,1.0,1.0,1,11,74159.4878,1,lopa.tara191@okhdfcbank
ACC00086,0.000237,20,7,1.0,1.0,1,7,87028.8103,1,abhiram.pant692@okaxis
ACC00087,0.000322,21,11,1.0,1.0909,1,11,70269.3559,1,damyanti.nanda965@okaxis
ACC00088,0.000345,20,7,1.0,1.0,1,7,67789.1823,1,harini.char41@okhdfcbank
ACC00089,0.000377,20,11,1.0,1.0909,1,11,75693.0761,1,wriddhish.bajwa598@kotak
ACC00090,0.000329,23,15,1.0,1.2,1,15,75959.5136,1,oviya.raghavan210@ybl
ACC00091,0.000372,19,13,1.0,1.0,1,13,72567.4163,1,wridesh.mishra406@oksbi
ACC00092,0.000366,14,3,1.0,1.0,1,3,84279.2988,1,qabil.vaidya324@okhdfcbank
ACC00093,0.000327,14,9,1.0,1.0,1,9,77758.5847,1,sai.rama637@okhdfcbank
ACC00094,0.00022,17,10,1.1,1.2,2,10,67362.536,1,rushil.shenoy219@kotak
ACC00095,0.000566,23,7,1.0,1.1429,1,7,77682.1711,1,keya.agate956@ybl
ACC00096,0.000422,21,8,1.0,1.0,1,8,82331.113,1,kavya.mital379@paytm
ACC00097,0.000613,21,12,1.0,1.0,1,12,72427.554,1,pranav.kunda854@kotak
ACC00098,0.00035,22,9,1.0,1.1111,1,9,75297.0659,1,upma.sura827@kotak
ACC00099,0.000287,17,6,1.0,1.0,1,6,72446.0258,1,oviya.suri837@kotak
ACC00100,0.000474,21,16,1.0,1.1875,1,16,1053.3175,1,rachit.kannan107@oksbi
ACC00101,0.000422,17,5,1.0,1.0,1,5,3106.422,1,mahika.vora912@okhdfcbank
ACC00102,0.000268,16,11,1.0,1.0909,1,11,3193.5418,1,saksham.thaman279@paytm
ACC00103,0.000272,13,6,1.0,1.0,1,6,1654.3283,1,vaishnavi.mukherjee735@ybl
ACC00104,0.000298,21,12,1.0,1.0833,1,12,2165.9542,1,isha.raj650@paytm
ACC00105,0.00018,13,4,1.0,1.0,1,4,650.0025,1,amara.vasa258@okicici
ACC00106,0.000335,19,8,1.0,1.0,1,8,936.6662,1,gautam.dar434@paytm
ACC00107,0.000504,23,8,1.0,1.125,1,8,900.4762,1,omkaar.bora342@oksbi
ACC00108,0.000225,15,15,1.0,1.2667,1,15,1677.0933,1,yoshita.varkey760@ibl
ACC00109,0.000519,21,8,1.0,1.0,1,8,680.0638,1,christopher.sur438@kotak
ACC00110,0.000663,21,13,1.0769,1.0769,2,13,1270.7415,1,yahvi.jain78@oksbi
ACC00111,0.000409,20,9,1.0,1.0,1,9,456.5233,1,qushi.dua855@ybl
ACC00112,0.000185,9,10,1.0,1.2,1,10,662.415,1,tanmayi.bahl152@upi
ACC00113,0.000305,14,9,1.0,1.0,1,9,933.8122,1,victor.loke316@ybl
ACC00114,0.00021,16,6,1.0,1.0,1,6,795.4333,1,gaurang.viswanathan216@okaxis
ACC00115,0.000219,13,8,1.0,1.125,1,8,937.515,1,nathan.nazareth799@kotak
ACC00116,0.000332,19,13,1.0,1.3846,1,13,1024.0185,1,amrita.apte768@oksbi
ACC00117,0.00018,12,8,1.0,1.125,1,8,1313.9325,1,dhriti.sur167@oksbi
ACC00118,8.9e-05,9,10,1.0,1.0,1,10,876.691,1,kavya.korpal184@ybl
ACC00119,0.000168,10,8,1.0,1.0,1,8,692.625,1,lakshmi.pingle686@okaxis
ACC00120,0.000361,17,9,1.0,1.1111,1,9,986.3067,1,noah.sandal807@okhdfcbank
ACC00121,0.000381,17,10,1.1,1.1,2,10,1236.1,1,harsh.hora40@ibl
ACC00122,0.000418,16,7,1.0,1.0,1,7,2157.0757,1,gaurang.sem837@ibl
ACC00123,0.000185,12,10,1.0,1.0,1,10,575.777,1,tara.goyal841@okaxis
ACC00124,0.000328,20,10,1.0,1.3,1,10,1786.227,1,vanya.ram676@okaxis
ACC00125,0.000205,12,8,1.0,1.125,1,8,819.9788,1,chakrika.narayan286@okhdfcbank
ACC00126,0.000298,21,7,1.0,1.1429,1,7,2108.3014,1,gautam.kulkarni657@kotak
ACC00127,0.000304,15,8,1.0,1.0,1,8,719.2238,1,tanvi.dugar864@kotak
ACC00128,0.000301,13,9,1.0,1.0,1,9,1099.07,1,zayyan.wagle119@paytm
ACC00129,0.000374,16,10,1.0,1.0,1,10,1317.511,1,chanchal.divan986@paytm
ACC00130,0.000256,14,6,1.0,1.0,1,6,766.0,1,mason.bava611@upi
ACC00131,0.000465,23,10,1.0,1.2,1,10,1231.793,1,sai.ravel806@ybl
ACC00132,0.00056,22,6,1.0,1.0,1,6,1142.5383,1,ira.wable524@okhdfcbank
ACC00133,0.000177,12,10,1.0,1.0,1,10,1591.677,1,kala.mani195@paytm
ACC00134,0.000596,17,14,1.0,1.2143,1,14,879.9479,1,qarin.lala447@okicici
ACC00135,0.000509,22,11,1.0,1.0909,1,11,1527.8536,1,kashvi.nazareth552@okaxis
ACC00136,0.000395,24,18,1.0556,1.2222,2,18,1641.0756,1,fiyaz.parsa72@ybl
ACC00137,0.000288,11,11,1.0,1.0909,1,11,1523.6,1,ekalinga.pradhan680@okhdfcbank
ACC00138,0.000237,16,10,1.0,1.0,1,10,1171.458,1,dayamai.venkatesh317@upi
ACC00139,0.000395,12,10,1.0,1.0,1,10,2001.331,1,chakrika.raju714@paytm
ACC00140,0.000625,19,12,1.0,1.1667,1,12,1361.5558,1,tanveer.tak197@upi
ACC00141,0.000789,23,10,1.0,1.0,1,10,970.992,1,hitesh.bava767@oksbi
ACC00142,0.000286,18,8,1.0,1.0,1,8,1051.275,1,nidhi.amble309@upi
ACC00143,0.000213,16,5,1.0,1.0,1,5,375.586,1,neha.divan1@paytm
ACC00144,0.000203,17,12,1.0,1.1667,1,12,1625.8333,1,harrison.bakshi441@ybl
ACC00145,0.00022,21,12,1.0,1.1667,1,12,1767.1758,1,baljiwan.devan453@okaxis
ACC00146,0.000146,12,6,1.0,1.0,1,6,651.2867,1,robert.chokshi813@oksbi
ACC00147,0.000213,14,10,1.0,1.0,1,10,2211.158,1,aishani.sankaran528@ybl
ACC00148,0.000436,17,9,1.1111,1.1111,2,9,2436.4344,1,darsh.pillai975@okaxis
ACC00149,0.000433,18,8,1.0,1.0,1,8,705.82,1,abeer.behl826@okaxis
ACC00150,0.000154,12,16,1.0,1.25,1,16,1248.1825,1,samarth.rama48@okaxis
ACC00151,0.000399,29,7,1.0,1.2857,1,7,2826.6957,1,suhani.loke871@okhdfcbank
ACC00152,0.000293,17,8,1.0,1.25,1,8,908.265,1,timothy.thaman908@okaxis
ACC00153,0.000432,21,8,1.0,1.375,1,8,620.7938,1,triveni.parmer410@okaxis
ACC00154,0.000208,19,10,1.0,1.0,1,10,833.334,1,samaksh.keer705@okicici
ACC00155,0.000268,13,6,1.0,1.1667,1,6,801.6333,1,qabil.bahl436@okaxis
ACC00156,0.000174,12,4,1.0,1.25,1,4,694.72,1,megha.batra981@kotak
ACC00157,0.000327,15,8,1.0,1.0,1,8,1055.4188,1,jeet.konda571@okaxis
ACC00158,0.000266,14,14,1.0,1.2,1,15,1583.2527,1,laban.chana137@ibl
ACC00159,0.00021,16,13,1.0,1.0769,1,13,1134.4354,1,chatresh.chaudhry610@ybl
ACC00160,0.000253,16,13,1.0,1.0769,1,13,1027.56,1,imaran.singh835@kotak
ACC00161,0.000298,19,15,1.0,1.1333,1,15,1447.194,1,gaurang.sathe929@kotak
ACC00162,0.000343,17,12,1.0,1.0833,1,12,1348.3925,1,widisha.sachdev762@ibl
ACC00163,0.000406,19,11,1.0909,1.0909,2,11,822.5355,1,zinal.sachdeva770@okaxis
ACC00164,0.000315,15,8,1.0,1.0,1,8,1556.6762,1,tripti.karan797@kotak
ACC00165,0.000534,23,13,1.0769,1.2308,2,13,1334.9346,1,kabir.yadav245@paytm
ACC00166,0.000461,18,7,1.0,1.0,1,7,742.4943,1,damini.wagle731@paytm
ACC00167,0.000197,15,5,1.0,1.0,1,5,2099.926,1,bakhshi.chhabra344@ybl
ACC00168,0.000475,16,15,1.0,1.1333,1,15,854.9807,1,ekaraj.wali142@oksbi
ACC00169,0.00025,16,6,1.0,1.0,1,6,903.3783,1,ojasvi.das711@oksbi
ACC00170,0.000181,11,16,1.0,1.0,1,16,1104.68,1,tanveer.bhagat425@upi
ACC00171,0.000253,18,8,1.0,1.0,1,8,1393.1388,1,praneel.varty478@upi
ACC00172,0.000137,10,7,1.0,1.0,1,7,1296.2271,1,zaid.prabhu853@upi
ACC00173,0.000456,20,7,1.0,1.0,1,7,502.7314,1,manthan.kara599@okicici
ACC00174,0.000251,16,11,1.0909,1.1818,2,11,1082.5427,1,veer.randhawa489@okicici
ACC00175,0.000273,18,10,1.0,1.0,1,10,1776.752,1,gaurav.dutt772@upi
ACC00176,0.000144,11,10,1.0,1.1,1,10,1305.301,1,chameli.dugar766@kotak
ACC00177,0.000513,22,7,1.0,1.0,1,7,433.4414,1,kashish.kala500@okaxis
ACC00178,0.000258,12,10,1.0,1.3,1,10,1401.138,1,upasna.hari498@okicici
ACC00179,0.000396,19,7,1.0,1.1429,1,7,3263.1843,1,fiyaz.seth685@upi
ACC00180,0.000422,22,11,1.0,1.1818,1,11,912.6909,1,geetika.thakur479@oksbi
ACC00181,0.000296,13,12,1.0,1.1667,1,12,1181.0742,1,jai.biswas28@upi
ACC00182,0.000332,23,7,1.0,1.2857,1,7,2401.1886,1,gautam.nadkarni679@okicici
ACC00183,0.000351,17,15,1.0,1.2667,1,15,960.278,1,ati.soni439@oksbi
ACC00184,0.000383,16,9,1.0,1.1111,1,9,1423.1722,1,ayush.murty52@paytm
ACC00185,0.000365,21,13,1.0,1.0769,1,13,1744.2085,1,janani.borah217@ibl
ACC00186,0.000372,16,6,1.0,1.0,1,6,1318.9733,1,raghav.palan780@upi
ACC00187,0.000299,16,9,1.0,1.1111,1,9,980.1678,1,brinda.mitter975@upi
ACC00188,0.000388,22,12,1.0,1.4167,1,12,1326.3733,1,ekavir.khatri84@ibl
ACC00189,0.000296,20,9,1.0,1.1111,1,9,1687.6222,1,charvi.verma553@okicici
ACC00190,0.000186,10,8,1.0,1.125,1,8,1771.875,1,damyanti.taneja666@okhdfcbank
ACC00191,0.000451,17,6,1.0,1.0,1,6,864.07,1,forum.sawhney32@okaxis
ACC00192,0.000335,18,9,1.0,1.0,1,9,1552.8133,1,ekapad.kalita21@oksbi
ACC00193,0.000743,15,12,1.0,1.0,1,12,1788.8967,1,warinder.nagarajan485@okhdfcbank
ACC00194,0.000443,20,9,1.0,1.1111,1,9,1646.8422,1,noah.mangal477@paytm
ACC00195,0.000206,13,12,1.0,1.1667,1,12,765.2525,1,neel.rau621@okhdfcbank
ACC00196,0.000252,19,20,1.0,1.15,1,20,1069.2205,1,leela.dugar111@okicici
ACC00197,0.000771,26,12,1.0,1.0833,1,12,503.6667,1,maanas.kannan694@upi
ACC00198,0.00019,13,8,1.0,1.0,1,8,1411.01,1,gaurang.more204@okhdfcbank
ACC00199,0.000256,23,5,1.0,1.2,1,5,1464.254,1,sanaya.shetty851@okaxis
ACC00200,0.000397,19,11,1.0,1.1818,1,11,1320.5636,1,jeet.mani792@paytm
ACC00201,0.000439,21,7,1.0,1.1429,1,7,1879.7714,1,harita.choudhry124@okicici
ACC00202,0.000788,28,11,1.0,1.0,1,11,1401.3955,1,maanas.chhabra439@ybl
ACC00203,0.00032,20,15,1.0,1.0667,1,15,1024.6353,1,devansh.raju664@ybl
ACC00204,0.000476,21,12,1.0,1.25,1,12,979.085,1,aarini.parsa431@ibl
ACC00205,0.000276,14,10,1.0,1.1,1,10,4951.471,1,yamini.mohan984@ybl
ACC00206,0.000419,18,14,1.0,1.2143,1,14,1809.2593,1,warda.devi157@upi
ACC00207,0.00032,21,5,1.0,1.0,1,5,1798.678,1,aarnav.bhalla535@paytm
ACC00208,0.000357,17,13,1.0,1.0,1,13,932.7123,1,rajeshri.garde942@kotak
ACC00209,0.000281,16,13,1.0769,1.1538,2,13,1098.2454,1,vasana.bal447@paytm
ACC00210,0.000287,22,15,1.0,1.2667,1,15,1146.1033,1,bimala.butala252@okhdfcbank
ACC00211,0.000183,12,8,1.0,1.0,1,8,1993.2275,1,akshay.varma250@ibl
ACC00212,0.000409,16,13,1.0,1.0769,1,13,788.35,1,meghana.chander685@upi
ACC00213,0.000301,10,8,1.0,1.0,1,8,618.2462,1,qasim.dhawan507@ybl
ACC00214,0.000425,14,10,1.0,1.0,1,10,1544.568,1,qarin.pandit218@ybl
ACC00215,0.00022,19,8,1.0,1.125,1,8,1463.6788,1,samaksh.korpal287@paytm
ACC00216,9e-05,14,8,1.0,1.0,1,8,1202.4438,1,nicholas.bajaj530@okaxis
ACC00217,0.000218,20,11,1.0,1.0909,1,11,2076.6073,1,gaurang.varughese738@upi
ACC00218,0.0002,17,4,1.0,1.0,1,4,1968.55,1,quincy.kashyap777@okaxis
ACC00219,0.000351,24,11,1.0,1.0909,1,11,3465.5045,1,oscar.memon729@ibl
ACC00220,0.000301,14,5,1.0,1.2,1,5,1003.02,1,madhav.rege18@okhdfcbank
ACC00221,0.000392,21,8,1.0,1.0,1,8,972.85,1,darpan.gour415@okaxis
ACC00222,0.000658,20,10,1.0,1.4,1,10,1989.444,1,ikshita.aggarwal596@ybl
ACC00223,0.000297,17,13,1.0,1.1538,1,13,2389.3415,1,kalpit.kakar544@ybl
ACC00224,0.000298,11,11,1.0,1.0909,1,11,1259.1373,1,ekaraj.aggarwal564@ybl
ACC00225,0.000253,16,6,1.0,1.3333,1,6,1318.5233,1,simon.bhatt465@paytm
ACC00226,0.00046,18,12,1.0,1.0833,1,12,3297.6567,1,christopher.basak237@okhdfcbank
ACC00227,0.000425,13,10,1.0,1.0,1,10,935.176,1,pallavi.kanda123@kotak
ACC00228,0.000494,21,12,1.0,1.25,1,12,798.0908,1,samesh.chadha222@ibl
ACC00229,0.000338,17,14,1.0,1.0714,1,14,783.6357,1,saksham.yohannan604@kotak
ACC00230,0.000394,21,15,1.0,1.1333,1,15,1562.8327,1,wriddhish.mani103@okaxis
ACC00231,0.000376,19,13,1.0,1.1538,1,13,2586.5508,1,dalbir.d’alia370@oksbi
ACC00232,0.000323,20,12,1.0,1.1667,1,12,987.5925,1,zehaan.parekh726@kotak
ACC00233,0.000325,17,12,1.0,1.0833,1,12,1554.3208,1,nirja.sabharwal47@okicici
ACC00234,0.000507,18,10,10.0,10.0,10,10,1133.18,1,viraj.bali715@oksbi
ACC00235,0.000538,20,8,1.0,1.125,1,8,830.8962,1,sathvik.ganesan894@okicici
ACC00236,0.000567,27,7,1.0,1.0,1,7,1188.9457,1,wriddhish.merchant481@ibl
ACC00237,0.000444,26,7,1.0,1.0,1,7,1651.11,1,raagini.halder189@okicici
ACC00238,0.000508,21,16,1.0,1.1875,1,16,1111.77,1,chanchal.tata490@okhdfcbank
ACC00239,0.000446,19,10,1.0,1.0,1,10,2635.043,1,unnati.chaudhuri504@okhdfcbank
ACC00240,0.000345,18,16,1.0,1.25,1,16,1047.5363,1,meghana.vaidya703@okicici
ACC00241,0.00018,14,9,1.0,1.0,1,9,1160.39,1,wridesh.koshy831@paytm
ACC00242,0.000421,18,11,1.0,1.0909,1,11,1888.3445,1,kamala.patel122@kotak
ACC00243,0.000462,22,6,1.0,1.3333,1,6,1069.925,1,mohini.sinha611@okaxis
ACC00244,0.000285,23,10,1.1,1.1,2,10,865.458,1,darsh.krishnamurthy462@ibl
ACC00245,0.000605,19,10,1.0,1.0,1,10,755.81,1,veer.doctor603@upi
ACC00246,0.000179,11,11,1.0,1.0909,1,11,1699.5345,1,yatan.sule636@okicici
ACC00247,0.000428,16,8,1.0,1.0,1,8,886.7338,1,robert.pal102@okaxis
ACC00248,0.000296,15,14,1.0,1.0714,1,14,1486.4414,1,zayyan.choudhury677@okhdfcbank
ACC00249,0.000686,23,18,1.0,1.2778,1,18,1498.8117,1,qushi.kalita178@kotak
ACC00250,0.000343,24,10,1.0,1.1,1,10,1523.002,1,jalsa.varty3@upi
ACC00251,0.000309,16,8,1.0,1.25,1,8,275.465,1,rachit.dada609@ibl
ACC00252,0.000244,15,9,1.0,1.1111,1,9,1189.9056,1,dalbir.kashyap238@paytm
ACC00253,0.000265,15,4,1.0,1.0,1,4,1402.045,1,zansi.goda881@ibl
ACC00254,0.00022,16,15,1.0,1.0667,1,15,798.204,1,triya.acharya240@paytm
ACC00255,0.000302,17,19,1.0,1.1579,1,19,854.6132,1,waida.shetty824@okaxis
ACC00256,0.000554,17,10,1.0,1.5,1,10,866.341,1,bhavani.raghavan558@okaxis
ACC00257,0.000334,20,10,1.0,1.4,1,10,1859.025,1,gaurang.natarajan847@oksbi
ACC00258,0.000173,14,13,1.0,1.1538,1,13,1223.55,1,chakrika.sodhi170@paytm
ACC00259,0.000167,10,12,1.0,1.0,1,12,1209.065,1,mohini.sachdev845@paytm
ACC00260,0.000371,18,13,1.0,1.0769,1,13,1062.5462,1,jagvi.naidu480@paytm
ACC00261,0.000156,14,5,1.0,1.0,1,5,568.64,1,chaaya.mann513@kotak
ACC00262,0.000219,21,7,1.0,1.1429,1,7,929.0529,1,avi.contractor83@okicici
ACC00263,0.0005,25,12,1.0,1.1667,1,12,1601.3783,1,dev.nagi331@paytm
ACC00264,0.000716,20,10,1.0,1.0,1,10,723.178,1,suhani.shanker235@okicici
ACC00265,0.000254,20,7,1.0,1.1429,1,7,637.5343,1,yatan.chowdhury42@oksbi
ACC00266,0.00028,15,5,1.0,1.0,1,5,948.264,1,dayamai.gandhi668@ibl
ACC00267,0.000208,15,9,1.0,1.1111,1,9,4290.49,1,nidhi.srinivasan600@upi
ACC00268,0.000155,11,9,1.0,1.2222,1,9,3133.1589,1,pranav.ravi482@ybl
ACC00269,0.000405,25,8,1.0,1.125,1,8,1230.985,1,jatin.subramanian329@okhdfcbank
ACC00270,0.000344,17,9,1.0,1.0,1,9,2211.9478,1,bachittar.dewan422@ibl
ACC00271,0.000359,14,9,1.0,1.1111,1,9,841.1389,1,ria.setty968@upi
ACC00272,0.000325,12,15,1.0,1.1333,1,15,756.4607,1,qushi.mittal466@okhdfcbank
ACC00273,0.000194,17,5,1.0,1.0,1,5,1040.412,1,rajeshri.bahl332@okhdfcbank
ACC00274,0.000199,15,11,1.0909,1.0909,2,11,902.6282,1,arin.sekhon527@okicici
ACC00275,0.000345,22,8,1.0,1.0,1,8,741.6875,1,ekbal.sekhon424@okicici
ACC00276,0.000643,25,7,1.0,1.2857,1,7,3861.5657,1,guneet.varkey371@ibl
ACC00277,0.000332,21,7,1.0,1.1429,1,7,1496.6929,1,bhavya.minhas53@okaxis
ACC00278,0.00037,19,8,1.0,1.0,1,8,1828.0262,1,fiyaz.sachar135@paytm
ACC00279,0.000335,20,10,1.0,1.1,1,10,842.66,1,azad.oommen497@okhdfcbank
ACC00280,0.000302,13,14,1.0,1.0714,1,14,2158.2779,1,ikbal.upadhyay624@okaxis
ACC00281,0.000172,8,8,1.0,1.0,1,8,790.8462,1,leela.pau565@okicici
ACC00282,0.000433,22,7,1.0,1.0,1,7,487.5586,1,gauri.bhatt96@okaxis
ACC00283,0.000374,19,13,1.0,1.0769,1,13,868.8438,1,parth.baral970@okhdfcbank
